ivmeX,ivmeY,ivmeZ,tmp,GyroX,GyroY,GyroZ,A0,A1,A2,ivmeX2,ivmeY2,ivmeZ2,tmp2,GyroX2,GyroY2,GyroZ2,A02,A12,A22
4784,-8972,12388,29.66,-176,16,-205,0,664,919,6-3820,4368,14800,28.72,-3,-7,1,941,860,642
4708,-8796,12360,29.75,-254,-59,-104,0,667,923,-3700,4316,15012,28.62,-78,28,-47,941,860,644
4696,-8880,12416,29.71,-239,-56,-137,0,667,923,-3720,4316,14924,28.72,-59,20,-34,941,859,645
4668,-8784,12532,29.71,-241,-44,-198,0,666,924,-3768,4396,14864,28.72,-47,1,-33,941,858,646
4708,-8716,12524,29.66,-359,-70,-380,0,666,920,-3720,4308,14736,28.72,-104,-10,-35,941,859,646
4820,-8812,12432,29.66,-379,-88,-270,0,670,904,-3664,4188,14856,28.67,-71,13,-26,940,859,649
4848,-9012,12152,29.61,-397,-183,-182,0,670,900,-3744,4280,14784,28.77,-21,8,-25,942,859,651
4864,-8960,12316,29.71,-405,-66,-285,0,671,901,-3848,4296,14856,28.77,2,34,-37,941,861,652
5012,-9128,12284,29.75,-1004,-249,-381,0,675,887,-3796,4176,14700,28.72,12,15,-15,941,861,649
5024,-9208,12248,29.75,-746,-303,-329,0,680,850,-3732,4336,14836,28.81,103,26,-15,941,858,652
5008,-9172,12052,29.66,-243,-75,-107,1,681,813,-3724,4348,14876,28.77,13,-5,-40,941,857,659
4936,-9100,12092,29.61,24,247,-20,0,684,823,-3604,4360,14876,28.77,61,-23,-15,941,857,656
5024,-9100,12296,29.66,-194,-40,-185,0,685,853,-3712,4360,14928,28.77,-22,-17,-43,941,859,660
4992,-9224,11960,29.71,-169,50,-395,0,686,863,-3732,4332,14916,28.67,-88,-13,-1,941,859,663
4812,-9104,12344,29.61,502,522,78,0,686,871,-3736,4320,14816,28.77,-101,-38,-7,941,860,666
-17151,31232,-10496,29.71,404,349,179,0,688,879,-3796,4336,14876,28.77,-107,-51,-20,941,862,666
4688,-8948,12476,29.66,-142,125,-46,0,691,885,-3768,4276,14956,28.81,-83,-44,-7,943,861,665
4728,-8852,12492,29.61,-163,77,-154,0,690,897,-3720,4232,14860,28.72,-30,-12,-29,942,860,669
4660,-8844,12512,29.66,-204,-20,-200,0,693,901,-3824,4316,14880,28.72,-61,-9,-53,942,861,669
4744,-8940,12376,29.66,-186,-26,-252,0,692,905,-3768,4240,14816,28.72,69,-22,-33,942,862,673
4764,-8884,12628,29.71,-228,-139,-256,0,691,906,-3776,4576,14772,28.72,11,-56,0,942,863,679
4700,-8832,12520,29.71,-230,-176,-189,0,683,905,-3756,4296,14916,28.81,-362,76,-158,942,866,678
4804,-8800,12496,29.61,-277,-162,-226,0,658,906,-3728,4208,14964,28.77,-218,40,-40,941,862,670
4808,-8760,12412,29.66,-280,-79,-247,0,647,907,-3900,4176,14956,28.77,-494,127,-1,941,857,660
4708,-8924,12540,29.75,-252,41,-251,0,648,907,-3680,4144,14980,28.72,-55,-29,39,942,851,643
4868,-8924,12496,29.61,-199,71,-173,0,649,908,-3664,4084,14960,28.72,-248,204,-95,941,849,640
4684,-8876,12396,29.66,-218,62,-155,0,656,908,-3956,3832,14764,28.67,77,156,143,940,838,618
4852,-8828,12484,29.75,-249,14,-176,0,658,907,-3752,3816,14880,28.72,-175,-887,39,941,791,545
4764,-8768,12448,29.71,-255,-19,-241,0,660,908,-3668,3748,14736,28.77,336,-87,249,942,743,374
4744,-8828,12384,29.66,-337,-30,-204,0,658,910,-3856,4132,14732,28.81,68,-77,-43,940,758,362
4768,-8868,12452,29.66,-268,24,-170,0,657,913,-3748,4408,14904,28.72,18,-46,188,938,769,380
4704,-8852,12428,29.71,-204,29,-149,0,659,913,-3596,4216,14772,28.81,258,11,444,939,774,392
4680,-8840,12368,29.71,-193,18,-217,0,660,912,-3604,4292,14708,28.77,427,11,444,940,750,391
4748,-8808,12508,29.66,-207,-76,-258,0,662,911,-3984,4604,14820,28.81,593,57,346,938,747,389
4756,-8812,12340,29.61,-242,-72,-265,0,658,910,-3544,4780,14744,28.77,468,-305,306,932,749,396
4824,-8788,12400,29.71,-319,-82,-193,0,658,910,-3756,4700,14724,28.72,185,-136,328,920,742,408
4732,-8892,12296,29.75,-307,-41,-172,7,650,911,-3600,4708,14752,28.77,168,-40,192,907,727,384
4844,-8856,12564,29.61,-297,-8,-199,0,650,911,-3584,4864,14652,28.81,522,-79,169,890,711,363
