ivmeX,ivmeY,ivmeZ,tmp,GyroX,GyroY,GyroZ,A0,A1,A2,ivmeX2,ivmeY2,ivmeZ2,tmp2,GyroX2,GyroY2,GyroZ2,A02,A12,A22
-2784,-1071,1181,28.34,-2784,-1071,1181,0,747,777,-4628,3948,16244,27.49,-1519,-2920,2930,915,645,216
-2784,-1071,1181,28.34,-2784,-1071,1181,0,743,836,-12,3732,11888,27.49,541,6248,-3003,924,360,40
-2784,-1071,1181,28.34,-2784,-1071,1181,0,726,894,-4292,5416,14600,27.54,-3129,517,-110,913,741,357
-2784,-1071,1181,28.34,-2784,-1071,1181,0,722,912,-4192,4864,14480,27.49,-1001,328,68,905,764,484
-2784,-1071,1181,28.34,-2784,-1071,1181,0,719,919,-3996,5276,14572,27.49,1479,14,188,896,779,584
-2784,-1071,1181,28.34,-2784,-1071,1181,0,712,924,-3932,5004,14744,27.45,25,-66,54,896,791,650
-2784,-1071,1181,28.34,-2784,-1071,1181,0,712,929,-4016,5040,14712,27.45,-51,30,4,892,803,661
-2784,-1071,1181,28.34,-2784,-1071,1181,1,690,929,-3972,5032,14660,27.45,56,-67,85,894,805,644
-2784,-1071,1181,28.34,-2784,-1071,1181,1,691,932,-3936,5016,14504,27.64,185,-105,160,895,804,641
-2784,-1071,1181,28.34,-2784,-1071,1181,0,690,933,-3852,4912,14688,27.49,-23,-153,133,902,806,645
-2784,-1071,1181,28.34,-2784,-1071,1181,0,690,935,-3868,5328,14716,27.4,5,-82,28,907,810,643
-2784,-1071,1181,28.34,-2784,-1071,1181,0,689,934,-3836,5024,14592,27.64,153,-135,30,909,814,653
-2784,-1071,1181,28.34,-2784,-1071,1181,0,697,936,-3912,5128,14672,27.54,105,-66,2,911,818,657
-2784,-1071,1181,28.34,-2784,-1071,1181,0,696,938,-3764,5264,14480,27.49,9,-1,-41,911,818,658
-2784,-1071,1181,28.34,-2784,-1071,1181,3,708,938,-3772,5052,14620,27.54,119,9,-16,913,819,671
-2784,-1071,1181,28.34,-2784,-1071,1181,0,706,951,-3908,5176,14516,27.64,-71,-52,-26,913,820,679
-2784,-1071,1181,28.34,-2784,-1071,1181,0,695,967,-3840,5164,14588,27.54,-85,-22,-19,913,824,687
-2784,-1071,1181,28.34,-2784,-1071,1181,0,525,977,-3892,5184,14568,27.54,-153,-36,7,913,824,691
-2784,-1071,1181,28.34,-2784,-1071,1181,0,489,967,-3828,5188,14576,27.59,-36,3,10,914,827,690
-2784,-1071,1181,28.34,-2784,-1071,1181,0,422,943,-4036,5256,14640,27.49,134,-57,57,915,826,698
-2784,-1071,1181,28.34,-2784,-1071,1181,0,431,587,-3820,5184,14524,27.4,13,-50,5,915,832,703
-2784,-1071,1181,28.34,-2784,-1071,1181,1,519,593,-3796,5332,14584,27.59,38,-53,30,915,835,708
-2784,-1071,1181,28.34,-2784,-1071,1181,0,597,850,-3756,5180,14608,27.59,11,-58,8,916,839,707
-2784,-1071,1181,28.34,-2784,-1071,1181,0,658,662,-3840,5212,14612,27.49,-33,-45,-4,917,842,711
-2784,-1071,1181,28.34,-2784,-1071,1181,0,694,640,-3776,5296,14592,27.49,-28,-47,8,918,846,712
-2784,-1071,1181,28.34,-2784,-1071,1181,0,718,748,-3860,5272,14676,27.49,-45,-64,19,918,844,707
-2784,-1071,1181,28.34,-2784,-1071,1181,0,732,912,-3768,5100,14504,27.59,66,-55,60,918,846,706
-2784,-1071,1181,28.34,-2784,-1071,1181,0,767,947,-3764,5268,14664,27.49,44,-70,26,919,848,704
-2784,-1071,1181,28.34,-2784,-1071,1181,0,785,958,-3844,5328,14584,27.59,-67,-1,4,919,849,692
-2784,-1071,1181,28.34,-2784,-1071,1181,0,802,961,-3728,5272,14660,27.49,-78,-22,8,920,851,686
-2784,-1071,1181,28.34,-2784,-1071,1181,0,766,957,-3756,5220,14684,27.54,-96,-3,2,919,850,689
-2784,-1071,1181,28.34,-2784,-1071,1181,0,741,945,-3780,5332,14576,27.54,53,-21,-10,920,854,690
-2784,-1071,1181,28.34,-2784,-1071,1181,0,733,935,-3724,5128,14612,27.54,-5,-27,-3,919,854,694
-2784,-1071,1181,28.34,-2784,-1071,1181,0,708,934,-3768,5208,14564,27.45,-38,-52,31,918,855,699
-2784,-1071,1181,28.34,-2784,-1071,1181,0,718,934,-3668,5320,14672,27.59,110,-6,-15,919,856,709
-2784,-1071,1181,28.34,-2784,-1071,1181,0,722,938,-3816,5224,14552,27.54,-11,-16,9,919,857,710
-2784,-1071,1181,28.34,-2784,-1071,1181,0,732,941,-3748,5440,14620,27.49,67,-43,26,919,853,713
-2784,-1071,1181,28.34,-2784,-1071,1181,0,747,950,-3792,5392,14620,27.45,-80,-70,26,919,852,713
-2784,-1071,1181,28.34,-2784,-1071,1181,0,769,957,-3712,5304,14552,27.54,-90,12,-19,920,855,716
-2784,-1071,1181,28.34,-2784,-1071,1181,1,769,961,-3588,5240,14496,27.64,-45,-58,-27,921,856,717
