ivmeX,ivmeY,ivmeZ,tmp,GyroX,GyroY,GyroZ,A0,A1,A2,ivmeX2,ivmeY2,ivmeZ2,tmp2,GyroX2,GyroY2,GyroZ2,A02,A12,A22
4256,-9300,12216,28.95,-661,-68,1474,0,549,616,8-4288,6784,13864,27.92,3045,4932,-2852,432,802,634
4240,-9756,12184,28.91,-1186,-967,3243,0,411,639,-5220,8016,12304,27.97,-1872,39,-1859,385,774,559
3284,-9616,11212,28.95,932,-874,2270,0,362,596,-3716,4864,14484,27.97,-5483,-3345,-1100,349,803,432
3920,-9272,13164,28.95,3188,-839,-1676,1,500,613,-3284,6728,15472,27.97,679,-2497,931,613,834,436
3360,-9376,12168,28.95,904,2225,-62,0,626,652,-3612,4616,14216,27.87,-1282,-539,-378,777,848,420
3024,-8888,12792,28.95,109,1244,179,0,696,669,-2748,3304,14496,28.01,1503,-1690,460,857,848,377
2596,-8912,12764,28.95,-431,349,508,0,692,761,-3856,7612,14420,27.92,2781,-549,266,893,860,541
1624,-8468,12796,29,199,988,749,0,700,789,-3352,6216,14720,27.92,-1998,1092,-494,910,871,617
2552,-9084,12924,28.95,94,741,440,0,714,792,-2952,4664,14596,28.01,-739,147,-232,908,873,616
3028,-9056,12808,29.05,168,1196,423,0,725,805,-2456,6196,14800,28.06,453,-293,-27,913,873,592
1832,-8788,12960,28.95,-54,814,254,0,725,829,-2536,4472,14764,27.92,-114,-419,-241,916,861,530
1300,-8588,12992,28.91,-411,401,187,0,724,852,-3148,5808,14760,28.06,1276,-205,324,916,870,580
1100,-8388,13120,28.95,-431,-426,266,0,724,872,-2928,6236,14676,27.87,-451,221,-232,918,879,565
2196,-9416,12984,28.86,-287,-1334,486,0,731,886,-2720,5040,14968,28.01,-644,38,18,920,879,574
1484,-8904,12876,28.86,259,-209,351,0,736,894,-2908,5372,14848,28.01,508,-463,485,921,884,614
1748,-8740,13064,28.95,317,-690,294,0,739,913,-2620,7112,14828,28.01,-698,108,-328,921,884,622
2476,-8900,13116,28.91,-56,23,149,1,738,925,-2296,5452,14748,27.97,-350,243,67,923,877,540
1840,-8732,13000,28.86,-798,-40,-99,0,736,937,-2476,6616,14520,27.92,-299,208,394,923,882,596
1632,-8896,13000,28.91,-988,-279,-618,0,728,953,-2808,5692,14684,27.87,-261,-358,-1000,925,881,554
2112,-8972,12872,28.91,-1152,-538,-571,0,687,965,-2928,5148,14876,28.01,135,-248,186,926,874,459
2172,-9348,12684,28.91,-1224,-591,-620,3,588,972,-3752,5480,15104,28.01,1295,492,425,928,860,306
1904,-9948,11932,29,40,-1565,-1640,0,442,976,-4020,6612,15496,28.06,346,-797,835,929,803,73
3840,-9440,14096,28.91,-9693,-1592,345,0,402,968,792,6028,12520,28.15,-126,-4272,-1171,923,371,49
2632,-11768,8260,28.95,-4478,-1286,1000,0,302,937,-14572,18724,32767,28.06,2773,-3202,-7908,930,662,44
2932,-11188,10564,28.91,3064,1014,-1050,2,290,904,-3360,5064,14940,27.92,-1057,144,13,926,806,355
2964,-10576,10108,29.05,5483,2585,-2892,0,286,889,-3020,5072,14724,27.97,-259,265,-57,920,831,435
3816,-10444,20968,28.91,4211,2018,-1980,0,660,879,-3308,4932,14716,27.92,-346,222,32,918,837,467
1928,-7564,12904,28.86,1631,-474,-773,0,710,873,-3360,5040,14780,27.97,418,-90,133,920,839,499
2824,-7716,13476,28.86,-221,-1022,-470,5,775,920,-3364,5068,14724,27.97,42,-30,40,920,840,527
4232,-9452,12928,28.86,-917,201,582,0,816,963,-3416,5004,14820,28.01,1,-21,6,921,843,516
2536,-8924,12612,28.86,-1758,2675,1591,0,809,970,-3292,5068,14808,27.97,-127,10,-9,921,846,522
1608,-8508,13092,28.95,111,1129,473,0,792,956,-3356,4948,14856,28.06,-62,30,-19,921,845,524
1964,-8272,12924,28.95,11,-9,74,0,799,954,-3212,4800,14864,28.06,59,-96,25,920,849,532
2268,-9328,12760,28.91,409,661,-29,0,790,933,-3200,4712,14892,28.06,138,-136,-42,913,850,535
1680,-7928,13136,28.86,-569,-2484,-1785,0,753,906,-3100,4736,14932,28.01,989,45,-129,871,857,591
4652,-10048,14128,28.86,-5357,-2442,1034,0,549,945,-3464,6336,15080,27.97,1205,2479,-523,658,858,625
824,-11464,9420,28.86,-9444,-2388,4157,0,389,926,-4516,5872,13956,27.97,156,2974,-545,398,843,648
3092,-10884,6976,28.95,13738,5350,-7143,0,280,851,-4192,5676,14132,28.01,-1039,-1656,1184,375,839,631
5364,-10532,11368,28.91,-678,4205,1219,0,683,856,-4364,5452,14156,27.87,-1176,-1787,726,375,843,537
996,-8620,11968,28.86,-6438,-2226,2061,0,457,882,-3252,5580,14288,28.06,187,-1020,373,731,857,530
2196,-10908,9208,28.77,9388,1281,-5187,0,447,888,-4112,7780,14984,27.92,-799,-1105,342,884,876,651
5188,-8772,15372,28.81,-7384,308,7346,0,498,913,-3444,4920,15400,28.06,-2483,2258,-769,884,889,723
-1424,-13780,10280,28.91,6289,-7766,-1340,0,380,540,-3452,6108,17552,28.01,2290,11096,-175,475,844,520
-7980,-9544,5500,28.91,4662,9379,5281,0,319,423,860,2632,6152,27.92,2678,-301,12381,390,401,49
420,-10100,14912,28.81,-4745,2084,5541,0,520,828,-10468,2208,14292,27.97,-7622,-8476,1221,397,510,204
-456,-9612,6844,28.86,6051,1476,-4629,0,351,721,484,10284,15564,27.87,-2547,-3961,-794,797,795,535
5132,-11872,12140,28.86,-1630,3787,3316,0,727,842,-4344,3576,14420,28.01,6659,-1560,693,906,882,733
412,-8876,11788,28.91,582,-2422,1499,0,459,518,-2860,7984,13880,28.01,1748,-54,-2260,903,910,747
-992,-6512,8264,29,225,2930,-6121,0,328,432,-5972,7368,14344,28.06,706,3484,649,711,854,407
2640,-1368,18004,28.91,-2073,3894,6034,0,595,469,-2960,4344,11388,27.97,478,1440,93,395,377,63
1060,-8908,12972,28.91,164,1136,697,0,645,658,-3048,8916,14300,28.06,-6564,-4230,1698,384,272,44
4316,-11640,15652,28.91,-4027,-2086,-3145,0,665,610,-2616,3012,13996,27.97,-561,-1520,-530,832,647,56
4008,-1996,11316,28.86,676,-3877,-8404,0,532,418,-3904,8192,14848,28.06,666,28,-25,922,777,340
-1468,-17700,14344,28.91,-2023,2480,1851,0,633,504,-3128,5636,14812,27.97,-6669,1061,-2403,925,817,451
1460,-9348,12492,28.86,1108,1232,510,0,660,793,-2156,1552,15796,27.87,-550,4044,87,753,803,490
2300,-9180,12708,28.86,-370,-359,-157,0,674,838,-9088,5916,12404,27.97,6437,939,406,404,452,109
2144,-9128,12624,28.86,-131,57,-327,0,683,862,-3152,1932,10656,28.01,-3952,-1941,-5139,376,319,37
2100,-8972,12884,29,-93,-268,-410,0,694,874,1480,5844,15348,28.01,-7305,-7396,4911,320,710,289
2352,-9144,12744,28.91,-254,-76,-327,0,694,881,-3648,3392,14996,27.92,2352,-1797,1009,898,830,549
2152,-8820,13020,28.86,-252,-124,-231,0,696,882,-3516,7160,14800,27.97,-803,29,-956,923,871,638
2316,-8936,12800,28.95,-361,-59,-251,0,694,885,-3852,4536,15100,27.97,1573,3500,-936,882,858,575
2072,-8932,12932,28.91,-409,57,-317,0,690,887,-5632,7360,15896,27.87,7173,2322,-2530,487,678,133
2360,-8764,12940,29,97,-59,-547,0,687,883,-4288,3748,14856,28.06,218,2772,2134,378,376,57
2420,-8728,13644,28.91,-28,-575,-357,0,680,899,-16780,24708,31936,27.97,2527,-7093,2809,312,480,67
2100,-9508,12504,29,1164,-1081,-1649,0,675,946,-4012,3604,14508,28.01,783,-1194,1080,901,784,430
2736,-8908,13072,28.86,168,822,-52,0,721,955,-3972,6832,14792,27.92,1312,-608,-986,928,838,549
2416,-8816,13032,28.86,-344,860,194,0,734,959,-4764,6140,14268,27.97,-1168,3691,-1373,863,849,566
2644,-8776,13096,28.95,-238,169,-15,0,733,961,-6936,8604,12344,27.92,3590,5286,-5580,417,493,113
2364,-8716,13564,28.95,-2652,-1201,-48,0,711,960,-3828,-976,13112,28.01,-2725,-2943,-3170,375,334,54
732,-12172,14784,28.86,-5140,-2193,-2609,0,463,723,-16868,2304,10116,28.01,-10396,-5790,13631,355,535,214
4244,2404,3136,28.86,-6230,7147,-1323,5,425,475,-6916,7012,13648,28.06,475,223,1070,882,829,461
880,-10900,16880,28.81,15182,-1013,-6111,0,510,609,-4348,6484,15084,27.97,-263,-85,-657,924,861,619
2744,-9876,13172,28.86,961,1340,690,0,768,881,-2968,3520,14540,27.92,-2896,2214,-981,894,855,573
2288,-8996,13744,28.86,-4737,1875,3218,0,720,897,-4532,5460,18196,27.92,7514,8641,-4194,506,761,439
3088,-12888,14144,28.91,-10408,-5957,1513,0,376,697,-1804,6944,8752,28.01,7682,-1490,14510,354,393,55
736,-4628,7664,28.77,2678,-6872,-7172,0,285,438,-11212,23080,18388,28.01,4560,-6504,-5271,366,298,93
