ivmeX,ivmeY,ivmeZ,tmp,GyroX,GyroY,GyroZ,A0,A1,A2,ivmeX2,ivmeY2,ivmeZ2,tmp2,GyroX2,GyroY2,GyroZ2,A02,A12,A22
4064,-9076,12532,29.28,-271,-17,-216,0,377,351,1-1304,8804,13444,28.20,1102,-76,25,289,378,136
4028,-8996,12600,29.38,-241,31,-240,0,376,349,-1424,9076,13072,28.29,-194,-49,-79,295,367,147
3956,-9036,12548,29.42,-248,5,-167,0,375,351,-1604,9008,13220,28.29,-167,-29,-97,300,380,146
4088,-9080,12484,29.38,-252,0,-125,0,375,348,-1508,8876,13192,28.20,-5,-11,-12,304,383,149
4084,-9116,12420,29.42,-225,-13,-120,0,373,344,-1516,8972,13172,28.25,169,60,-4,311,390,129
4036,-9044,12536,29.33,-197,16,-169,0,372,347,-1564,9064,13348,28.29,450,127,-13,312,397,124
4168,-9096,12336,29.38,-210,-23,-182,0,372,351,-1676,9040,13120,28.29,101,89,50,312,408,130
4100,-9096,12512,29.33,-210,33,-133,0,373,353,-1792,8992,13248,28.20,-106,39,6,313,397,130
4068,-9120,12576,29.33,-190,44,-92,0,370,354,-1568,8896,13324,28.29,-351,105,3,314,402,139
3900,-9012,12516,29.33,-203,35,-80,0,369,356,-1688,8908,13272,28.25,-155,34,-19,315,404,139
4056,-9048,12568,29.28,-208,47,-135,0,372,358,-1656,8920,13288,28.15,-216,29,-65,317,403,137
3976,-9048,12472,29.24,-247,-1,-211,0,372,352,-1744,8912,13248,28.29,-1179,-31,-312,316,402,154
3896,-9096,12492,29.33,-225,90,-164,0,371,356,-1780,8208,13576,28.25,-289,-58,-13,300,404,144
3928,-9056,12528,29.38,-172,-58,-118,0,373,357,-1588,8560,13348,28.34,-91,29,-22,304,412,149
4036,-9088,12564,29.42,-196,-43,-102,0,372,358,-1780,8520,13540,28.29,-12,-4,0,304,409,157
4068,-9112,12688,29.33,-215,-12,-77,0,374,363,-1772,8608,13424,28.25,106,-2,-38,307,414,163
3956,-9184,12724,29.28,-193,-6,-136,0,375,363,-1704,8708,13380,28.34,117,-36,-30,308,413,156
3940,-8940,12496,29.33,-157,-35,-205,0,374,362,-1772,8440,13480,28.29,251,-26,-5,310,414,147
3856,-8988,12524,29.38,-215,26,-72,0,369,370,-1676,8732,13428,28.29,135,-19,-43,310,414,137
3944,-9060,12568,29.24,-234,17,-92,0,373,367,-1812,8716,13372,28.20,-9,22,-40,314,415,139
3924,-9052,12760,29.28,-239,45,-93,0,372,363,-1668,8768,13460,28.20,-66,-11,-52,313,412,138
3840,-8948,12668,29.33,-181,56,-91,0,368,358,-1672,8696,13236,28.29,-155,-22,-63,315,414,143
3844,-9044,12712,29.28,-273,140,-237,0,370,358,-1680,8784,13316,28.25,3,-54,-73,312,413,148
3832,-9020,12544,29.28,-301,57,-236,0,370,357,-1612,8896,13440,28.25,265,46,-9,311,410,145
3800,-9040,12532,29.33,-269,-35,-140,0,374,360,-1668,8852,13324,28.25,186,21,-76,307,410,138
3796,-9120,12728,29.38,-215,15,-75,0,373,362,-1752,8780,13240,28.25,120,96,-85,311,411,130
3828,-9048,12480,29.24,-247,28,-105,0,371,361,-1864,8744,13188,28.20,-124,-28,-61,309,414,136
3612,-9096,12496,29.33,-298,10,-178,0,370,361,-1840,8716,13284,28.29,-15,10,-36,309,416,141
3700,-8880,12556,29.28,-282,-9,-239,0,369,359,-1668,8900,13308,28.20,38,-3,-89,308,415,146
3756,-9072,12648,29.33,-249,-17,-211,0,372,373,-1808,8944,13216,28.29,-188,-5,4,306,414,149
3756,-9004,12612,29.38,-226,63,-112,0,371,375,-1816,8736,13464,28.20,10,54,14,306,418,153
3692,-9056,12660,29.33,-188,39,-111,0,371,376,-1812,8772,13392,28.20,-26,6,-53,305,418,158
3660,-8972,12704,29.42,-178,63,-88,0,373,377,-1792,8836,13144,28.29,-14,-64,-75,305,417,157
3668,-9004,12744,29.38,-250,-47,-209,0,370,377,-1844,8764,13280,28.20,-127,-30,19,309,418,153
3728,-9032,12792,29.33,-256,-11,-230,0,370,384,-1724,8756,13404,28.34,-71,5,-80,312,417,158
3708,-9104,12592,29.33,-242,13,-156,0,373,381,-1832,8764,13368,28.29,-38,-32,-23,315,424,158
3516,-9060,12564,29.38,-240,-58,-146,0,370,389,-1808,8792,13228,28.25,105,-61,-47,317,439,165
3652,-9040,12584,29.33,-217,-20,-139,0,373,391,-1736,8708,13312,28.34,35,118,-14,320,442,165
3676,-9156,12600,29.33,-261,-38,-214,0,374,389,-1872,8668,13220,28.29,-264,199,2,321,427,152
3656,-9136,12436,29.38,-253,12,-204,0,375,393,-2028,8640,13428,28.29,394,407,25,311,425,158
3600,-9048,12680,29.33,-236,-63,-182,0,372,389,-1956,8972,13272,28.25,24,734,-347,294,407,151
3716,-8984,12640,29.42,-232,-234,-199,0,372,396,-2156,9384,13400,28.29,-935,1607,-1382,258,418,143
3764,-9032,12548,29.38,-245,-90,-209,0,369,405,-2992,8236,13916,28.29,-1273,2754,-3281,222,426,130
3780,-8960,12472,29.33,-224,-103,-241,0,367,401,-4620,7776,13724,28.29,-835,-3442,62,206,414,31
3800,-9148,12668,29.33,-217,-146,-312,0,369,406,-2952,6532,14140,28.25,-695,-1570,1903,234,400,23
3832,-8964,12488,29.24,-254,-29,-241,0,371,405,-956,7652,13004,28.34,-905,2193,-2349,236,383,31
3820,-9060,12692,29.38,-319,-4,-151,0,373,407,104,7480,14544,28.29,-2032,-483,-2580,234,386,30
3884,-9064,12484,29.38,-386,-30,-172,0,373,402,-4208,6924,12712,28.25,-2103,-2861,-3767,236,413,33
3732,-9084,12584,29.33,-324,-58,-215,0,374,401,-6572,7180,10748,28.39,677,2129,-4091,235,313,82
3712,-8992,12720,29.38,-273,14,-232,0,372,403,-2704,5568,15448,28.25,610,-294,-760,207,318,551
3864,-9044,12652,29.38,-258,-26,-226,0,374,402,-3528,8960,13860,28.29,1532,-1751,-376,332,302,777
3720,-9100,12556,29.33,-242,13,-178,0,374,403,-2300,6084,14864,28.29,-2808,-412,-871,479,394,822
3752,-9048,12764,29.38,-273,84,-123,0,375,401,-2800,6548,14504,28.29,-188,46,-619,588,421,839
3744,-9084,12484,29.33,-268,99,-120,0,371,400,-2500,6132,14436,28.34,-1018,10,-464,602,426,845
3880,-9032,12556,29.33,-267,110,-117,0,371,400,-2732,5512,14692,28.29,-1004,-9,-280,617,445,841
3568,-9052,12596,29.38,-224,18,-194,0,374,398,-2588,5464,14592,28.29,163,22,256,614,447,821
3728,-8984,12524,29.38,-226,-110,-196,0,376,400,-2580,5644,14432,28.29,1037,-340,340,648,440,813
3732,-9060,12604,29.33,-202,-114,-188,0,375,400,-2824,6112,14668,28.25,1224,-322,469,666,446,824
3748,-9172,12540,29.33,-295,-71,-210,0,376,400,-2404,7624,14284,28.20,4107,46,-489,586,418,755
3796,-9084,12496,29.42,-215,-125,-300,0,375,403,-2944,7108,14376,28.29,1373,2216,905,372,349,419
3864,-9060,12692,29.38,-256,-28,-249,0,375,402,-5356,6248,13808,28.29,-964,1578,-1490,220,339,31
3716,-9032,12520,29.42,-235,35,-167,0,375,408,-3092,7008,13572,28.25,-603,1215,262,236,338,24
3820,-9132,12520,29.42,-256,0,-143,0,375,405,-944,8000,13036,28.29,-2731,-779,379,215,378,50
3840,-9108,12584,29.38,-147,-186,-218,0,369,406,-4256,5488,14200,28.25,-2807,70,-1230,220,289,38
3936,-8996,12740,29.33,-348,277,-212,0,376,407,-6668,7272,14388,28.29,-1090,-1551,-401,541,358,232
3760,-8976,12624,29.33,-234,-161,-229,0,374,408,-4336,5916,14464,28.25,757,-1144,-265,806,439,458
