ivmeX,ivmeY,ivmeZ,tmp,GyroX,GyroY,GyroZ,A0,A1,A2,ivmeX2,ivmeY2,ivmeZ2,tmp2,GyroX2,GyroY2,GyroZ2,A02,A12,A22
-8280,696,12936,23.49,-257,-7,-222,0,329,363,5-8608,-3284,12752,22.60,-27,-4,-18,240,474,54
-8252,716,12856,23.40,-242,-12,-240,0,330,361,-8504,-3380,12760,22.79,-44,-34,-10,241,473,55
-8336,668,12824,23.35,-239,-22,-231,0,330,363,-8516,-3356,12800,22.60,-41,-26,-7,238,473,56
-8356,608,13044,23.40,-261,-10,-178,0,329,361,-8688,-3376,12812,22.65,-57,-30,-37,237,471,56
-8372,584,12888,23.45,-254,-40,-146,0,330,361,-8644,-3324,12752,22.69,-43,-8,-5,239,477,60
-8372,632,13064,23.40,-259,-27,-136,0,328,361,-8544,-3416,12668,22.74,-37,-17,2,237,478,61
-8348,664,13000,23.45,-244,-33,-174,0,328,361,-8540,-3336,12760,22.65,-56,-10,-2,238,477,61
-8352,708,12960,23.40,-258,-15,-208,0,328,363,-8484,-3224,12712,22.69,-14,-14,4,239,478,59
-8328,656,12944,23.49,-252,-13,-223,0,325,363,-8612,-3392,12816,22.60,-39,-5,-25,233,475,62
-8324,664,13120,23.49,-247,-16,-235,0,327,359,-8664,-3332,12944,22.60,-38,-10,-31,240,475,64
-8208,724,12940,23.49,-240,-21,-190,0,324,360,-8628,-3336,12848,22.69,-44,-39,-15,238,474,62
-8288,632,13072,23.45,-251,-3,-163,0,323,360,-8636,-3308,12660,22.69,-50,-13,-32,235,475,61
-8304,612,12960,23.40,-236,-6,-159,0,327,361,-8636,-3312,12788,22.69,-42,-56,-1,238,473,62
-8324,620,13060,23.49,-240,-8,-141,0,326,361,-8636,-3372,12780,22.69,-66,-8,-16,239,471,63
-8296,744,13112,23.45,-243,-20,-175,0,323,360,-8516,-3392,12808,22.74,-38,-14,-35,239,471,63
-8332,680,13044,23.40,-245,-51,-199,0,327,361,-8512,-3332,12800,22.74,-41,-29,-23,239,472,65
-8324,624,12908,23.45,-244,-11,-217,0,327,361,-8672,-3368,12824,22.65,-61,-23,-29,229,471,65
-8256,600,13008,23.40,-245,-32,-213,0,324,360,-8656,-3424,12720,22.65,-62,-16,-35,229,473,64
-8376,640,13016,23.40,-241,-4,-188,0,326,360,-8828,-3404,12800,22.65,-55,-26,-15,233,473,63
-8284,672,13076,23.40,-247,-26,-150,1,325,358,-8588,-3336,12856,22.74,-46,-31,-1,232,472,62
-8300,632,12952,23.40,-238,-37,-144,0,327,360,-8680,-3344,12796,22.65,-52,-16,-27,235,471,61
-8248,724,12984,23.54,-223,-44,-159,0,327,360,-8608,-3400,12720,22.74,-37,-31,-6,234,473,59
-8268,560,13032,23.49,-240,-14,-171,0,326,360,-8652,-3408,12764,22.65,-34,-12,6,234,479,60
