ivmeX,ivmeY,ivmeZ,tmp,GyroX,GyroY,GyroZ,A0,A1,A2,ivmeX2,ivmeY2,ivmeZ2,tmp2,GyroX2,GyroY2,GyroZ2,A02,A12,A22
3704,-8780,12720,29.42,-175,0,-172,0,404,442,9-3288,5348,14536,28.48,-57,-61,-96,243,430,516
3580,-8804,12756,29.28,-227,-1,-146,0,402,439,-3324,5600,14636,28.34,12,-19,-15,244,438,519
3680,-8876,12704,29.33,-226,-5,-190,0,400,441,-3324,5512,14644,28.34,-180,40,-31,236,440,528
3760,-8772,12852,29.38,-251,3,-208,0,401,445,-3280,5396,14636,28.39,-353,94,-21,243,442,536
3620,-8824,12872,29.24,-257,-40,-253,0,401,442,-3404,5444,14576,28.44,-388,57,-30,241,438,537
3636,-8804,12804,29.38,-199,-34,-218,1,403,438,-3476,5524,14564,28.34,219,-31,125,237,443,538
3672,-8812,12904,29.38,-229,-11,-145,0,400,442,-3396,5716,14680,28.39,-684,114,-33,244,440,540
3732,-8764,12744,29.33,-256,-16,-126,0,401,444,-3364,5120,14748,28.44,-979,218,-151,242,433,523
3672,-8776,12848,29.38,-257,-4,-174,0,397,445,-3540,4956,14724,28.39,-568,103,-71,236,417,525
3712,-8796,12876,29.33,-300,2,-212,0,398,441,-3436,4992,14736,28.44,-211,2,-2,236,422,535
3688,-8884,12776,29.28,-421,-125,-175,0,399,453,-3452,4896,14868,28.34,-51,26,-9,231,422,543
3928,-8908,12540,29.47,-161,-150,110,0,400,451,-3488,4848,14776,28.34,85,-91,19,232,430,552
3732,-8896,12632,29.28,-138,71,-44,0,400,448,-3428,5020,14656,28.44,172,-174,-47,237,434,538
3780,-8820,12812,29.33,-166,147,-242,0,404,442,-3480,5292,14740,28.39,318,-880,-633,238,428,529
3652,-8772,12788,29.28,-223,15,-272,0,404,450,-3436,5408,14768,28.44,-259,-486,-316,239,429,522
3500,-8880,12812,29.38,-430,-119,-249,0,404,423,-3000,4992,14748,28.29,-328,-63,-229,238,433,524
3560,-8884,12776,29.33,-561,-104,-300,0,404,418,-3536,4568,14804,28.34,-356,301,-43,233,414,546
3760,-8900,12744,29.33,-192,-190,-374,0,403,417,-3428,5184,14696,28.39,-489,346,-113,234,424,558
3780,-8820,12624,29.38,-15,-152,-267,0,404,427,-3264,4828,14840,28.34,-485,-10,519,225,379,551
3792,-8956,12644,29.28,-212,157,-59,0,405,439,-3260,4344,14828,28.39,275,-153,567,223,382,476
3736,-8784,12772,29.33,-287,59,-275,0,406,448,-3504,4832,14752,28.34,801,-139,587,228,376,437
3748,-8932,12788,29.38,-270,173,-126,0,409,448,-2976,5232,14760,28.48,1997,-464,351,226,383,321
3700,-8836,12776,29.47,-160,332,13,0,405,448,-3116,5336,14764,28.34,2767,-430,154,226,395,292
3524,-8768,12760,29.33,-174,392,-104,0,408,449,-5008,7008,15344,28.34,670,789,856,221,398,212
3700,-8748,12804,29.33,-198,77,-127,0,407,450,-3844,6852,15176,28.39,1017,-3018,-119,224,349,63
3528,-8704,12808,29.38,-103,-57,-270,0,407,447,-2512,6832,14084,28.39,2667,705,-1634,217,319,75
3740,-8772,12836,29.38,-164,39,-360,0,405,443,-2876,7424,14548,28.39,491,3132,1398,208,358,54
3536,-8884,12752,29.33,-15,47,-234,0,406,447,-3352,7380,13460,28.44,-1600,2793,3807,226,366,65
3396,-8840,12860,29.38,-75,21,8,0,406,446,-6068,5432,13544,28.44,-3726,4917,10087,226,387,78
3556,-8624,12908,29.42,-105,159,233,0,408,445,-3492,7180,13532,28.34,-1710,1580,4424,226,386,50
3352,-8492,12952,29.33,-128,125,16,0,409,447,-3684,6892,13908,28.34,-2055,2208,5964,227,383,60
3220,-8580,12932,29.33,-314,-153,-172,0,409,446,-3288,5308,14568,28.44,-1920,2368,3744,227,387,47
3552,-8652,12952,29.38,-316,-205,-254,0,410,445,-2008,5672,14836,28.44,-3217,1168,2717,222,387,44
3508,-8716,12892,29.38,-191,-288,-156,0,410,445,-2680,5892,14348,28.44,-2803,609,2331,227,388,43
3540,-8464,12932,29.38,-124,-249,53,0,409,445,-6092,5908,17368,28.48,-1888,4033,-1302,226,279,125
3596,-8560,12988,29.33,-243,-162,-57,0,411,441,-3928,4232,15076,28.44,-2375,-1947,295,211,353,452
3628,-8692,12948,29.42,-301,43,-89,0,410,440,-3920,4856,14780,28.44,61,741,-457,335,400,589
3692,-8680,12864,29.28,-254,9,-108,0,410,440,-3676,4340,14616,28.39,544,-52,208,377,394,628
3440,-8612,12820,29.38,-213,-138,-137,0,413,438,-3484,3816,14740,28.29,135,-218,285,501,436,715
3528,-8744,12784,29.38,-298,-66,-153,0,412,434,-3172,5224,15224,28.44,-1240,-948,555,651,438,794
3592,-8772,12916,29.33,-221,-22,-289,0,409,433,-3148,5704,14852,28.34,945,-850,-559,762,469,829
3488,-8648,12804,29.24,-194,-6,-385,0,409,431,-3196,5484,14840,28.48,-773,-118,-217,789,507,830
3536,-8660,13028,29.38,-380,-103,-586,0,405,424,-3420,5004,15036,28.34,104,643,-37,818,522,801
3856,-8748,13388,29.28,-1786,-207,-104,0,383,417,-3032,4700,14856,28.39,-171,425,424,814,489,726
3404,-10152,12944,29.38,-10849,-1779,668,0,381,418,-4780,6312,15636,28.44,2053,2073,1136,611,397,438
-1116,-14076,10724,29.33,2896,-5656,-982,0,383,423,-3004,7364,12436,28.34,3657,2368,1524,282,335,29
2016,-6568,13140,29.33,6515,548,12828,0,385,419,-3092,4156,15056,28.39,-2709,-750,-6230,221,336,42
-2448,548,12828,29.33,-2448,548,12828,0,382,433,-11324,5440,26644,28.34,-362,209,1445,184,314,53
-2448,548,12828,29.33,-2448,548,12828,0,386,447,-2776,6432,14444,28.44,-1352,-484,-1108,755,747,179
2644,-7804,7904,29.24,-5479,6182,7823,0,351,414,-3284,6080,14980,28.34,-461,-644,-358,868,824,432
-2480,6182,7823,29.24,-2480,6182,7823,0,400,352,-3224,4600,15236,28.39,-1032,-367,-490,903,856,507
-2480,6182,7823,29.24,-2480,6182,7823,0,402,289,-3284,4672,15032,28.39,-3108,976,-685,908,864,533
-2480,6182,7823,29.24,-2480,6182,7823,0,439,795,-3588,3032,15140,28.44,-2136,912,20,907,860,491
-2480,6182,7823,29.24,-2480,6182,7823,0,481,882,-3448,3724,15032,28.48,1941,-392,70,865,858,466
-2480,6182,7823,29.24,-2480,6182,7823,0,486,932,-5940,5768,16112,28.39,9184,5877,-784,407,737,179
-2480,6182,7823,29.24,-2480,6182,7823,0,523,957,-2524,5900,12140,28.44,1045,-2749,6393,302,321,36
-2480,6182,7823,29.24,-2480,6182,7823,0,552,967,-3776,7924,7984,28.53,861,4292,-8329,301,309,50
-2480,6182,7823,53.09,-2480,6182,7823,0,558,974,-1120,4284,15728,28.48,-1200,-697,-624,800,752,273
1824,-9108,12508,29.19,-555,-255,-193,0,585,978,-3604,5572,15088,28.39,-454,-496,-414,909,836,447
-2496,-255,-193,29.19,-2496,-255,-193,0,592,978,-3464,5040,15084,28.34,-1275,274,-460,922,857,500
-2496,-255,-193,29.19,-2496,-255,-193,0,589,980,-3732,4336,14820,28.44,-659,-596,158,920,864,503
-2496,-255,-193,29.19,-2496,-255,-193,0,608,980,-3484,2572,14640,28.29,4578,814,586,866,862,529
-30466,-2049,23808,29.24,-150,-274,-83,0,604,980,-3368,5756,15448,28.39,1595,1356,-366,751,823,510
2032,-9316,12716,29.24,-622,-510,-220,0,589,983,-6600,6136,13588,28.39,-2509,-4719,2515,312,481,61
2052,-9428,12612,29.38,-987,-593,-493,0,585,984,-5160,3480,15020,28.39,-1655,1530,-3073,315,342,47
2244,-9512,12520,29.28,-721,-316,-695,0,576,984,-7364,7880,16744,28.53,-1105,-2632,-851,722,706,127
2164,-9436,12688,29.38,-788,-93,-383,0,575,986,-2848,5000,15072,28.44,-471,-405,355,892,836,353
2488,-9492,13304,29.33,-1833,-480,-93,0,473,985,-3348,7004,15232,28.34,929,47,112,921,872,555
4320,-10784,13148,29.33,-6997,-1091,3301,0,441,980,-4348,4892,14284,28.34,255,2149,-536,905,878,589
-1344,-13692,7192,29.28,-10832,-1587,1153,0,337,908,-2656,1892,13872,28.44,2594,-1188,332,864,884,504
3892,-8872,6192,29.33,8289,796,-6375,0,332,534,-2988,8988,16068,28.44,2988,-1848,623,884,892,702
2908,-11888,9860,29.24,7167,1619,481,0,293,431,-3272,12152,20332,28.44,-1485,25128,-13085,396,863,708
6488,-6248,15708,29.38,3009,2827,1611,0,464,630,-3056,-5360,-72,28.39,-1638,-2827,781,329,332,90
1644,-8704,13092,29.28,1614,-1640,-1162,1,562,888,-1500,9964,16644,28.44,-6192,-31916,9980,335,811,263
2148,-8228,13372,29.33,-781,749,-297,6,668,944,-3872,14072,18032,28.34,4949,2752,1256,541,901,749
2648,-8972,13168,29.33,-1247,1377,1191,0,682,958,-9496,8968,8160,28.39,-5250,22298,-6329,327,514,717
1856,-8620,12816,29.33,-320,2163,1086,0,632,961,-12624,624,9736,28.39,1711,9525,-19541,282,316,58
1648,-8876,13296,29.28,-896,-130,-273,0,583,960,-22340,12596,20828,28.39,-7,-18166,6985,274,780,793
2072,-8852,14228,29.28,-5400,-1072,-71,0,497,956,-4104,10088,17428,28.34,4729,23400,-3710,257,756,848
